1,alethea,f
1,aletheia,f
1,alexandra,f
1,alexandra,m
1,alexandre,m
1,alexandrine,f
1,alexis,m
1,alice,f
1,alida,f
1,alured,f
1,alwyne,m
1,amalius,m
1,ambrose,m
1,amy,f
1,amyrald,m
1,anabella,f
1,anastacia,f
1,anastatia,f
1,anchoretta,f
1,aneurin,m
1,angel,?
1,angel,f
1,angelica ,f
1,angelica,f
1,angelique,f
1,angmondisham,m
1,angus,m
1,ann,f
1,annabella,f
1,anne ,f
1,annette,f
1,annice,f
1,annsi,f
1,anstace,f
1,anthanasius,m
1,antony,m
1,apolonia,f
1,araminta,f
1,arent,m
1,aretas,m
1,ariana,f
1,armandine,f
1,arnolda,f
1,aron,m
1,artemidorus,m
1,arundel,f
1,aseneth,f
1,athalmer,m
1,athanasius,m
1,atholl,f
1,audrey,f
1,aurea,f
1,auston,m
1,badham,m
1,baldwin,m
1,balzaliel,m
1,banastre,m
1,baptist,m
1,barclay,m
1,barnaby,m
1,bartholemew,m
1,bartholomew,m
1,basetta,f
1,basil ,m
1,basilia,f
1,bassett,m
1,bathsua,?
1,bella,f
1,bellett,m
1,bellingham,m
1,benedict,m
1,bennet,m
1,bentinck,m
1,bertram,m
1,bethia,f
1,betsey,f
1,betsy,f
1,bettia,f
1,betty,f
1,beulah,f
1,bigoe,?
1,blundel,m
1,blyney,m
1,boyd,m
1,bracey,m
1,brand,m
1,bransley,m
1,brian,m
1,broderick,m
1,brownlow,m
1,brydges,m
1,byzantia,f
1,cadwallader-davis,m
1,caleb,m
1,cameron,m
1,camerona,f
1,capel,m
1,cara,f
1,carey,m
1,carnaby,m
1,carteret,f
1,caryer,m
1,cecilia,f
1,celia,f
1,chaloner,m
1,chardin,m
1,charity ,f
1,charlotte-florentia,f
1,chatwynd,f
1,christabella,f
1,christian,f
1,christian,m
1,christiana,f
1,christina,f
1,christmas,m
1,christobella,f
1,clare,f
1,clarence,m
1,clarinda,f
1,clarisa,f
1,claud,m
1,claude,m
1,claudia,f
1,clement,m
1,clotilda,f
1,colina,f
1,collan,m
1,connell,m
1,conway,m
1,corantine,f
1,corbetta,f
1,corisande,f
1,corry,?
1,coulson,m
1,courteney,m
1,craven,m
1,crisp,m
1,crispin,m
1,croker,m
1,culling,m
1,cuthbert,m
1,cynric,m
1,cyrus,m
1,dacre,m
1,dalilah,f
1,darius,m
1,darkess,?
1,dashwood,m
1,delphine,f
1,denis,m
1,denny,m
1,denton,m
1,derwent,m
1,dianysius,m
1,dina,f
1,dionysia,f
1,dolly,f
1,dominico,m
1,dominus,m
1,dorcas,f
1,dorriel,f
1,douglas,m
1,duke,m
1,ebenezer,m
1,echlin,m
1,eden,m
1,edgar,m
1,eduard,m
1,edward ,m
1,edwina,f
1,eglantine,f
1,ela,f
1,eliab,m
1,elias,m
1,elihu,m
1,elisa,f
1,elisabeth,f
1,eliza ,f
1,elizabeth ,f
1,ellick,m
1,ellinor,f
1,elliot,m
1,eloisa,f
1,elton,m
1,emelia,f
1,emilia,f
1,emily ,f
1,emmeline,f
1,eneas,m
1,erasmus,m
1,ereskine,m
1,esau,f
1,esme,m
1,ester,f
1,ethelred,m
1,eudoxia,f
1,eugene,m
1,euphan,f
1,euphemia,f
1,euphmia,f
1,euphonia,f
